Test Metadata
Name,Felix
Hand Span (cm),22
Done Before,Yes
Carousel Position,top
Holding Hand,right
Using Hands,one
Thumb Rest X,322.93
Thumb Rest Y,643.13
Device Model,K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36
Screen Width,448
Screen Height,998
Pixel Ratio,3

User Comments
2 column feels slow 

ID,Type,Timestamp,Carousel,Velocity,Distance,Duration,Peak Velocity,Avg Velocity,Peak/Avg Ratio,Acceleration,Avg Jerk,Max Jerk,Initial Velocity,Peak Acceleration,Velocity Variance,Velocity CV,Distance/Duration Ratio,Straightness %,Pause Before Release,Y Movement,Touch Pressure Avg,Touch Pressure Max,Touch Pressure Variance,Trajectory Length,Path Directness,Curvature Score,Inflection Points,Device Motion X,Device Motion Y,Device Motion Z,Device Motion Variance,Is Retry,Time Since Last Gesture,Is Outlier,Outlier Reasons
46,flick,2025-11-04T20:36:27.972Z,2-column,275.79,73.33,51,217.19,177.69,1.22,3.10,0.00,0.00,138.18,3.10,1560.69,0.22,1.44,99.97,0.00,1.93,0.0000,0.0000,0.0000,73.34,0.9998,3.1258,0,0.0000,0.0000,0.0000,0.0000,Yes,601,No,none
47,flick,2025-11-04T20:36:28.588Z,2-column,366.97,97.83,67,311.27,241.21,1.29,3.66,0.04,0.04,165.27,3.66,3569.99,0.25,1.46,98.32,0.00,18.17,0.0000,0.0000,0.0000,98.02,0.9981,0.0529,0,0.0000,0.0000,0.0000,0.0000,Yes,616,No,none
48,flick,2025-11-04T20:36:29.221Z,2-column,392.00,121.37,84,333.33,205.71,1.62,7.10,0.09,0.16,37.43,7.10,12140.81,0.54,1.44,99.65,0.00,10.17,0.0000,0.0000,0.0000,121.47,0.9992,0.0355,0,0.0000,0.0000,0.0000,0.0000,Yes,633,No,none
49,flick,2025-11-04T20:36:29.803Z,2-column,410.61,98.00,65,364.69,277.12,1.32,4.30,0.02,0.02,186.75,4.30,5281.18,0.26,1.51,99.42,0.00,10.57,0.0000,0.0000,0.0000,98.37,0.9963,6.2135,0,0.0000,0.0000,0.0000,0.0000,Yes,582,No,none
50,flick,2025-11-04T20:36:30.387Z,2-column,453.76,118.53,84,388.56,227.52,1.71,7.91,0.09,0.14,27.79,7.91,18049.47,0.59,1.41,98.97,0.00,17.17,0.0000,0.0000,0.0000,119.13,0.9950,0.0388,0,0.0000,0.0000,0.0000,0.0000,Yes,584,No,none
51,flick,2025-11-04T20:36:31.004Z,2-column,452.27,120.67,85,398.37,248.25,1.60,8.80,0.12,0.20,41.73,8.80,17833.36,0.54,1.42,99.53,0.00,11.77,0.0000,0.0000,0.0000,120.95,0.9976,0.0252,0,0.0000,0.0000,0.0000,0.0000,Yes,617,No,none
52,glide,2025-11-04T20:36:47.438Z,1-column,1710.20,175.60,116,27.93,13.72,2.04,0.32,0.00,0.00,0.71,0.32,85.27,0.67,1.51,99.87,0.00,9.13,0.0000,0.0000,0.0000,175.98,0.9978,0.0283,0,0.0000,0.0000,0.0000,0.0000,No,34564,No,none
53,glide,2025-11-04T20:36:48.320Z,1-column,335.03,184.23,98,306.90,162.87,1.88,4.17,0.03,0.06,32.54,4.17,9528.87,0.60,1.88,99.90,0.00,8.13,0.0000,0.0000,0.0000,185.05,0.9956,1.2606,0,0.0000,0.0000,0.0000,0.0000,Yes,882,No,none
54,glide,2025-11-04T20:36:49.004Z,1-column,2005.30,249.03,117,657.79,426.46,1.54,5.49,0.02,0.04,175.40,5.49,27478.87,0.39,2.13,99.71,0.00,19.10,0.0000,0.0000,0.0000,249.24,0.9992,0.0449,0,0.0000,0.0000,0.0000,0.0000,Yes,684,Yes,velocity
55,glide,2025-11-04T20:36:49.653Z,1-column,793.90,242.10,117,734.63,416.85,1.76,10.41,0.06,0.19,40.54,10.41,53121.78,0.55,2.07,99.57,0.00,22.47,0.0000,0.0000,0.0000,242.58,0.9980,0.0345,0,0.0000,0.0000,0.0000,0.0000,Yes,649,No,none
